id,city,name,address,region,category,led_size,impressions_per_day,Daily operating hours,Installation Date
130,Hamilton,Wellmart Asian Supermarket,"25/27A/27C Vialou Street, Hamilton Central, Hamilton 3204",Hamilton,Supermarket,2.97*1.53m,600,10,2024/12/30
131,Rotorua, ROTORUA,2 Panels,,,,,,
132,Rotorua, RESTAURANT,,,,,,,
133,Rotorua,Soho Restaurant,"1199 Amohau Street, Victoria, Rotorua",Rotorua,Restaurant,1.05*2.01m,320,8,2024/7/11
134,Rotorua,Chinese delights,"1225 Amohau Street, Rotorua 3010",Rotorua,Restaurant,1.05*2.01m,160,8,2024/12/5
135,Wellington, WELLINGTON,4 Panels,,,,,,
136,Wellington,Mr Jis Kitchen,"88 Queens Drive, Lower Hutt 5010",Wellington,Restaurant,1.05*2.01m,165,8,2025/6/22
137,Wellington,New Fortuna Restaurant,"193 Jackson Street, Petone, Lower Hutt 5012",Wellington,Restaurant,1.05*2.01m,180,8,2025/8/25
138,Wellington,The Dumpling Company,"44 The Terrace, Wellington Central, Wellington 6011",Wellington,Restaurant,1.05*2.01m,195,8,2025/9/4
139,Wellington,Majestic Cuisine,"11B Courtenay Place, Te Aro, Wellington 6011",Wellington,Restaurant,1.05*2.01m,180,8,2025/9/4
140,Auckland,CHENGDIEYI Hotpot,"Level1/3 Arawa Street, Grafton, Auckland 1023",Auckland City,Restaurant,65 inch,240,8,2026/4/15
